"slug","billing_period","type","regular_price","promotion_price","product_discount_id","contract_period","translation_key_id","introduction_price","orderable","action_period","action_period_price","is_default"
extension_az,24,registration,76998,,,24,,,true,,,false
extension_az,36,registration,115497,,,36,,,true,,,false
extension_ba,12,registration,33399,,,12,,,true,,,false
extension_ba,24,registration,66798,,,24,,,true,,,false
extension_ba,36,registration,100197,,,36,,,true,,,false
extension_baby,12,registration,9999,,,12,,,true,,,false
extension_baby,24,registration,19998,,,24,,,true,,,false
extension_baby,36,registration,29997,,,36,,,true,,,false
extension_band,12,registration,3499,,,12,,,true,,,false
extension_band,24,registration,6998,,,24,,,true,,,false
extension_band,36,registration,10497,,,36,,,true,,,false
extension_bar,12,registration,7699,,,12,,,true,,,false
extension_bar,24,registration,15397,,,24,,,true,,,false
extension_bar,36,registration,23097,,,36,,,true,,,false
extension_barcelona,12,registration,4099,,,12,,,true,,,false
extension_barcelona,24,registration,8198,,,24,,,true,,,false
extension_barcelona,36,registration,12297,,,36,,,true,,,false
extension_bargains,12,registration,3099,,,12,,,true,,,false
extension_bargains,24,registration,6198,,,24,,,true,,,false
extension_bargains,36,registration,9297,,,36,,,true,,,false
extension_bayern,12,registration,4099,,,12,,,true,,,false
extension_bayern,24,registration,8198,,,24,,,true,,,false
extension_bayern,36,registration,12297,,,36,,,true,,,false
extension_bb,12,registration,15399,,,12,,,true,,,false
extension_bb,24,registration,30798,,,24,,,true,,,false
extension_bb,36,registration,46197,,,36,,,true,,,false
extension_bbs.tr,12,registration,1699,,,12,,,true,,,true
extension_be,12,prolongation,2959,,,24,,,true,,,false
extension_be,12,prolongation,2589,,,36,,,true,,,false
extension_be,12,registration,3699,499,,12,,,true,,,false
extension_be,24,registration,5918,3458,,24,,,true,12,499,false
extension_be,36,registration,7768,5678,,36,,,true,12,499,false
extension_beauty,12,registration,1499,,,12,,,true,,,false
extension_beauty,24,registration,2998,,,24,,,true,,,false
extension_beauty,36,registration,4497,,,36,,,true,,,false
extension_beer,12,registration,3999,,,12,,,true,,,false
extension_beer,24,registration,7998,,,24,,,true,,,false
extension_beer,36,registration,11997,,,36,,,true,,,false
extension_be_free_am,12,prolongation,0,,,12,,,false,,,false
extension_berlin,12,registration,5199,,,12,,,true,,,false
extension_berlin,24,registration,10398,,,24,,,true,,,false
extension_berlin,36,registration,15597,,,36,,,true,,,false
extension_best,12,registration,6999,,,12,,,true,,,false
extension_best,24,registration,13997,,,24,,,true,,,false
extension_best,36,registration,20997,,,36,,,true,,,false
extension_bet,12,registration,2499,,,12,,,true,,,false
extension_bet,24,registration,4998,,,24,,,true,,,false
extension_bet,36,registration,7497,,,36,,,true,,,false
extension_bg,12,registration,15999,,,12,,,true,,,false
extension_bg,24,registration,31998,,,24,,,true,,,false
extension_bg,36,registration,47997,,,36,,,true,,,false
extension_bh,12,registration,6099,,,12,,,true,,,false
extension_bh,24,registration,12198,,,24,,,true,,,false
extension_bh,36,registration,18297,,,36,,,true,,,false
extension_bi,12,registration,10299,,,12,,,true,,,false
extension_bi,24,registration,20598,,,24,,,true,,,false
extension_bi,36,registration,30897,,,36,,,true,,,false
extension_bible,12,registration,5199,,,12,,,true,,,false
extension_bible,24,registration,10398,,,24,,,true,,,false
extension_bible,36,registration,15597,,,36,,,true,,,false
extension_bid,12,registration,3499,,,12,,,true,,,false
extension_bid,24,registration,6998,,,24,,,true,,,false
extension_bid,36,registration,10497,,,36,,,true,,,false
extension_bike,12,registration,3999,,,12,,,true,,,false
extension_bike,24,registration,7998,,,24,,,true,,,false
extension_bike,36,registration,11997,,,36,,,true,,,false
extension_bingo,12,registration,5199,,,12,,,true,,,false
extension_bingo,24,registration,10398,,,24,,,true,,,false
extension_bingo,36,registration,15597,,,36,,,true,,,false
extension_bio,12,registration,7699,,,12,,,true,,,false
extension_bio,24,registration,15397,,,24,,,true,,,false
extension_bio,36,registration,23097,,,36,,,true,,,false
extension_biz,12,registration,4899,,,12,,,true,,,false
extension_biz,24,registration,8398,,,24,,,true,,,false
extension_biz,36,registration,12597,,,36,,,true,,,false
extension_biz.bd,24,registration,12399,,,24,,,true,,,true
extension_biz.fj,12,registration,23099,,,12,,,true,,,true
extension_biz_free_am,12,prolongation,0,,,12,,,false,,,false
extension_biz.id,12,registration,18000,,,12,,,true,,,true
extension_biz.mm,12,registration,23099,,,12,,,true,,,true
extension_biz.tr,12,registration,1699,,,12,,,true,,,true
extension_biz.vn,12,registration,15399,,,12,,,true,,,true
extension_bj,12,registration,11799,,,12,,,true,,,false
extension_bj,24,registration,23598,,,24,,,true,,,false
extension_bj,36,registration,35397,,,36,,,true,,,false
extension_black,12,registration,6199,,,12,,,true,,,false
extension_black,24,registration,12398,,,24,,,true,,,false
extension_black,36,registration,18597,,,36,,,true,,,false
extension_blackfriday,12,registration,15399,,,12,,,true,,,true
extension_blog,12,registration,3999,,,12,,,true,,,false
extension_blog,24,registration,7998,,,24,,,true,,,false
extension_blog,36,registration,11997,,,36,,,true,,,false
extension_blue,12,registration,2499,,,12,,,true,,,false
extension_blue,24,registration,4998,,,24,,,true,,,false
extension_blue,36,registration,7497,,,36,,,true,,,false
extension_bm,12,registration,15399,,,12,,,true,,,false
extension_bm,24,registration,30798,,,24,,,true,,,false
extension_bm,36,registration,46197,,,36,,,true,,,false
extension_bo,12,registration,30799,,,12,,,true,,,false
extension_bo,24,registration,61598,,,24,,,true,,,false
extension_bo,36,registration,92397,,,36,,,true,,,false
extension_boats,12,registration,4099,,,12,,,true,,,false
extension_boats,24,registration,8198,,,24,,,true,,,false
extension_boats,36,registration,12297,,,36,,,true,,,false
extension_bolt.hu,24,registration,12399,,,24,,,true,,,true
extension_bond,12,registration,2999,,,12,,,true,,,false
extension_bond,24,registration,5998,,,24,,,true,,,false
extension_bond,36,registration,8997,,,36,,,true,,,false
extension_boston,12,registration,1499,,,12,,,true,,,false
extension_boston,24,registration,2998,,,24,,,true,,,false
extension_boston,36,registration,4497,,,36,,,true,,,false
extension_boutique,12,registration,3999,,,12,,,true,,,false
extension_boutique,24,registration,7998,,,24,,,true,,,false
extension_boutique,36,registration,11997,,,36,,,true,,,false
extension_br.com,12,registration,7500,,,12,,,true,,,true
